地区,邮政编码,确诊人数,疑似人数,治愈人数,死亡人数,时间
上海市境外输入,0,2458,8,2391,0,2021-11-27 08:48:21
浦东新区,310115,79,0,76,1,2021-11-27 08:48:21
青浦区,310118,7,0,6,0,2021-11-27 08:48:21
上海市外地来沪,0,113,0,112,1,2021-11-27 08:48:21
宝山区,310113,26,0,25,1,2021-11-27 08:48:21
黄浦区,310101,22,0,22,0,2021-11-27 08:48:21
闵行区,310112,19,0,19,0,2021-11-27 08:48:21
徐汇区,310104,18,0,17,1,2021-11-27 08:48:21
静安区,310106,16,0,15,1,2021-11-27 08:48:21
松江区,310117,16,0,16,0,2021-11-27 08:48:21
长宁区,310105,14,0,14,0,2021-11-27 08:48:21
普陀区,310107,11,0,11,0,2021-11-27 08:48:21
杨浦区,310110,9,0,9,0,2021-11-27 08:48:21
嘉定区,310114,9,0,7,2,2021-11-27 08:48:21
奉贤区,310120,9,0,9,0,2021-11-27 08:48:21
虹口区,310109,7,0,7,0,2021-11-27 08:48:21
金山区,310116,4,0,4,0,2021-11-27 08:48:21
崇明区,310151,4,0,4,0,2021-11-27 08:48:21
境外来沪,0,1,0,1,0,2021-11-27 08:48:21
上海市境外输入,0,2453,8,2388,0,2021-11-26 09:52:18
浦东新区,310115,79,0,76,1,2021-11-26 09:52:18
青浦区,310118,7,0,6,0,2021-11-26 09:52:18
上海市外地来沪,0,113,0,112,1,2021-11-26 09:52:18
宝山区,310113,26,0,25,1,2021-11-26 09:52:18
黄浦区,310101,22,0,22,0,2021-11-26 09:52:18
闵行区,310112,19,0,19,0,2021-11-26 09:52:18
徐汇区,310104,18,0,17,1,2021-11-26 09:52:18
静安区,310106,16,0,15,1,2021-11-26 09:52:18
松江区,310117,16,0,16,0,2021-11-26 09:52:18
长宁区,310105,14,0,14,0,2021-11-26 09:52:18
普陀区,310107,11,0,11,0,2021-11-26 09:52:18
杨浦区,310110,9,0,9,0,2021-11-26 09:52:18
嘉定区,310114,9,0,7,2,2021-11-26 09:52:18
奉贤区,310120,9,0,9,0,2021-11-26 09:52:18
虹口区,310109,7,0,7,0,2021-11-26 09:52:18
金山区,310116,4,0,4,0,2021-11-26 09:52:18
崇明区,310151,4,0,4,0,2021-11-26 09:52:18
境外来沪,0,1,0,1,0,2021-11-26 09:52:18
上海市境外输入,0,2452,8,2385,0,2021-11-25 18:42:38
浦东新区,310115,79,0,76,1,2021-11-25 18:42:38
青浦区,310118,7,0,6,0,2021-11-25 18:42:38
上海市外地来沪,0,113,0,112,1,2021-11-25 18:42:38
宝山区,310113,26,0,25,1,2021-11-25 18:42:38
黄浦区,310101,22,0,22,0,2021-11-25 18:42:38
闵行区,310112,19,0,19,0,2021-11-25 18:42:38
徐汇区,310104,18,0,17,1,2021-11-25 18:42:38
静安区,310106,16,0,15,1,2021-11-25 18:42:38
松江区,310117,16,0,16,0,2021-11-25 18:42:38
长宁区,310105,14,0,14,0,2021-11-25 18:42:38
普陀区,310107,11,0,11,0,2021-11-25 18:42:38
杨浦区,310110,9,0,9,0,2021-11-25 18:42:38
嘉定区,310114,9,0,7,2,2021-11-25 18:42:38
奉贤区,310120,9,0,9,0,2021-11-25 18:42:38
虹口区,310109,7,0,7,0,2021-11-25 18:42:38
金山区,310116,4,0,4,0,2021-11-25 18:42:38
崇明区,310151,4,0,4,0,2021-11-25 18:42:38
境外来沪,0,1,0,1,0,2021-11-25 18:42:38
上海市境外输入,0,2452,8,2385,0,2021-11-25 18:28:21
浦东新区,310115,79,0,76,1,2021-11-25 18:28:21
青浦区,310118,7,0,6,0,2021-11-25 18:28:21
上海市外地来沪,0,113,0,112,1,2021-11-25 18:28:21
