continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime,cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
北美洲,North America,美国,United States of America,美国,United States of America,971002,48177954,0,38840683,776349,2021-11-27 19:00,,,,,,,
亚洲,Asia,中国,China,中国,China,951001,1,2,3,4,2010-01-01 00:00,黑河,Heihe,231100,1,2,3,4
亚洲,Asia,中国,China,中国,China,951001,1,2,3,4,2020-03-01 00:00,黑河,Heihe,231100,1,2,3,4
北美洲,North America,美国,United States of America,美国,United States of America,971002,48177954,0,38840683,776349,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,法国,France,法国,France,961002,7619656,0,368023,120853,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,英国,United Kingdom,英国,United Kingdom,961007,10076116,0,6491069,144876,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,荷兰,Netherlands,荷兰,Netherlands,961006,2575172,0,11886,19607,2021-11-27 19:00:20,,,,,,,
亚洲,Asia,土耳其,Turkey,土耳其,Turkey,955018,8678609,0,6751667,75840,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,德国,Germany,德国,Germany,963003,5670253,0,4328400,100480,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,965013,1405218,0,154190,14416,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,瑞典,Sweden,瑞典,Sweden,962005,1196688,0,4971,15142,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,俄罗斯,Russia,俄罗斯,Russia,964006,9502879,0,8237465,270292,2021-11-27 19:00:20,,,,,,,
南美洲,South America,巴西,Brazil,巴西,Brazil,973003,22055238,0,20488785,613642,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,斯洛伐克,Slovakia,斯洛伐克,Slovakia,963007,1119111,0,255300,14177,2021-11-27 19:00:20,,,,,,,
亚洲,Asia,伊朗,Iran,伊朗,Iran,955007,6097672,0,5135887,129376,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,瑞士,Switzerland,瑞士,Switzerland,963008,978801,0,317600,12198,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,乌克兰,Ukraine,乌克兰,Ukraine,964007,3548842,0,2899967,88664,2021-11-27 19:00:20,,,,,,,
北美洲,North America,墨西哥,Mexico,墨西哥,Mexico,971003,3876391,0,3133267,293449,2021-11-27 19:00:20,,,,,,,
欧洲,Europe,波兰,Poland,波兰,Poland,963006,3461066,0,2978108,82607,2021-11-27 19:00:20,,,,,,,
